Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  3.73      1.19     1.19                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:30 @ ba2c)
 [170] AIntegrand(double, int, int, int, double, std::vector<double, std::allocator<double> >&, int) (terms.cpp:144 @ 10345) [183] N(int, double, double) (terms.cpp:13 @ d1cc) [294] double Integral_<double (double, int, int, double, std::vector<double, std::allocator<double> > const&), &(dCosIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:20 @ cf10)
 [212] BIntegrand(double, int, int, int, double, std::vector<double, std::allocator<double> >&, int) (terms.cpp:176 @ f685) [207] N(int, double, double) (terms.cpp:14 @ d1e4) [195] double Integral_<double (double, int, int, double, std::vector<double, std::allocator<double> > const&), &(dCosIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:20 @ cf20)
 [213] BIntegrand(double, int, int, int, double, std::vector<double, std::allocator<double> >&, int) (terms.cpp:176 @ f868) [208] N(int, double, double) (terms.cpp:13 @ d1e8) [295] double Integral_<double (double, int, int, double, std::vector<double, std::allocator<double> > const&), &(dCosIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:21 @ cfe9)
 [1466] convertMMatrix(std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >) (terms.cpp:461 @ 10620) [209] N(int, double, double) (terms.cpp:16 @ d1ea) [168] double Integral_<double (double, int, int, double, std::vector<double, std::allocator<double> > const&), &(dCosIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:21 @ cffd)
 [110] CosIntIntegrand(double, int, double, std::vector<double, std::allocator<double> > const&) (terms.cpp:45 @ af09) [184] N(int, double, double) (terms.cpp:17 @ d1fc) [296] double Integral_<double (double, int, int, double, std::vector<double, std::allocator<double> > const&), &(dCosIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:20 @ d260)
 [271] SinIntIntegrand(double, int, double, std::vector<double, std::allocator<double> > const&) (terms.cpp:65 @ b949) [201] N(int, double, double) (terms.cpp:13 @ d210) [256] double Integral_<double (double, int, int, double, std::vector<double, std::allocator<double> > const&), &(dCosIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:19 @ d265)
  [94] dCosIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&) (terms.cpp:119 @ ca20) [233] N(int, double, double) (terms.cpp:19 @ d243) [257] double Integral_<double (double, int, int, double, std::vector<double, std::allocator<double> > const&), &(dCosIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:20 @ d268)
 [272] dCosIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&) (terms.cpp:119 @ ca41) [185] N(int, double, double) (terms.cpp:17 @ d2b0) [297] double Integral_<double (double, int, int, double, std::vector<double, std::allocator<double> > const&), &(dCosIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:19 @ d26d)
 [214] dCosIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&) (stl_vector.h:671 @ cb05) [186] N(int, double, double) (terms.cpp:19 @ d2e0) [138] double Integral_<double (double, int, int, double, std::vector<double, std::allocator<double> > const&), &(dCosIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:20 @ f7b0)
 [161] dCosIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&) (stl_vector.h:671 @ cb0d) [144] N(int, double, double) (terms.cpp:19 @ d330) [258] double Integral_<double (double, int, int, double, std::vector<double, std::allocator<double> > const&), &(dCosIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:21 @ f7d1)
 [120] dCosIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&) (terms.cpp:121 @ cc4c) [234] N(int, double, double) (terms.cpp:14 @ 1013f) [128] double Integral_<double (double, int, int, double, std::vector<double, std::allocator<double> > const&), &(dCosIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:20 @ f7d5)
 [215] dCosIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&) (terms.cpp:121 @ ccec) [235] N(int, double, double) (terms.cpp:13 @ 10143) [116] double Integral_<double (double, int, int, double, std::vector<double, std::allocator<double> > const&), &(dCosIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:21 @ f7ed)
 [118] dCosIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&) (terms.cpp:120 @ cf2e) [282] N(int, double, double) (terms.cpp:16 @ 10153) [211] double Integral_<double (double, int, int, double, std::vector<double, std::allocator<double> > const&), &(dCosIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:21 @ f81c)
 [1379] dSinIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&) (terms.cpp:96 @ c0e0) [187] N(int, double, double) (terms.cpp:17 @ 10165) [169] double Integral_<double (double, int, int, double, std::vector<double, std::allocator<double> > const&), &(dCosIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:20 @ f820)
 [216] dSinIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&) (terms.cpp:97 @ c82f) [154] N(int, double, double) (terms.cpp:13 @ 10178) [259] double Integral_<double (double, int, int, double, std::vector<double, std::allocator<double> > const&), &(dCosIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:19 @ f828)
 [131] dSinIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&) (terms.cpp:97 @ c853) [283] N(int, double, double) (terms.cpp:16 @ 10199) [260] double Integral_<double (double, int, int, double, std::vector<double, std::allocator<double> > const&), &(dSinIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:17 @ c4b7)
 [217] dSinIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&) (terms.cpp:97 @ 10110) [236] N(int, double, double) (terms.cpp:19 @ 101b3) [261] double Integral_<double (double, int, int, double, std::vector<double, std::allocator<double> > const&), &(dSinIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:20 @ c5d5)
 [119] dSinIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&) (terms.cpp:97 @ 10122) [237] N(int, double, double) (terms.cpp:13 @ 10216) [262] double Integral_<double (double, int, int, double, std::vector<double, std::allocator<double> > const&), &(dSinIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:21 @ c828)
 [273] dSinIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&) (terms.cpp:97 @ 101e0) [284] N(int, double, double) (terms.cpp:14 @ 10220) [263] double Integral_<double (double, int, int, double, std::vector<double, std::allocator<double> > const&), &(dSinIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:21 @ c832)
 [132] dSinIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&) (terms.cpp:97 @ 10203) [140] N(int, double, double) (terms.cpp:13 @ 10224) [264] double Integral_<double (double, int, int, double, std::vector<double, std::allocator<double> > const&), &(dSinIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:21 @ c83c)
 [1467] A(double, double, int, std::vector<double, std::allocator<double> >&, int) (terms.cpp:148 @ fa20) [145] N(int, double, double) (terms.cpp:13 @ 10270) [298] double Integral_<double (double, int, int, double, std::vector<double, std::allocator<double> > const&), &(dSinIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:20 @ c908)
 [1468] B(double, double, int, std::vector<double, std::allocator<double> >&, int) (terms.cpp:180 @ f230) [188] N(int, double, double) (terms.cpp:19 @ 1029f) [299] double Integral_<double (double, int, int, double, std::vector<double, std::allocator<double> > const&), &(dSinIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:19 @ c90d)
 [1469] K(int, double, double) (terms.cpp:208 @ 11070) [202] N(int, double, double) (terms.cpp:17 @ 10458) [196] double Integral_<double (double, int, int, double, std::vector<double, std::allocator<double> > const&), &(dSinIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:21 @ 101d0)
 [133] N(int, double, double) (terms.cpp:23 @ a6bd) [238] N(int, double, double) (terms.cpp:19 @ 10490) [206] double Integral_<double (double, int, int, double, std::vector<double, std::allocator<double> > const&), &(dSinIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:21 @ 101e5)
  [74] N(int, double, double) (terms.cpp:13 @ a7b5) [1410] V(int, int, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, int, double, double, double, double) (terms.cpp:338 @ e510) [265] double Integral_<double (double, int, int, double, std::vector<double, std::allocator<double> > const&), &(dSinIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:20 @ 102c0)
 [274] N(int, double, double) (terms.cpp:13 @ a7da) [1426] u(int, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, int, double, double, double, double) (terms.cpp:394 @ e850) [300] double Integral_<double (double, int, int, double, std::vector<double, std::allocator<double> > const&), &(dSinIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:19 @ 102c5)
 [218] N(int, double, double) (terms.cpp:14 @ a7e1) [1470] mM(double, double, std::vector<double, std::allocator<double> >&, double, int) (terms.cpp:265 @ 10b80) [301] double Integral_<double (double, int, int, double, std::vector<double, std::allocator<double> > const&), &(dSinIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:20 @ 102c8)
  [42] N(int, double, double) (terms.cpp:13 @ a7e5) [1471] mV(std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, double, double, double, double, int, double) (terms.cpp:372 @ 109e0) [302] double Integral_<double (double, int, int, int, double, std::vector<double, std::allocator<double> >&, int), &(AIntegrand(double, int, int, int, double, std::vector<double, std::allocator<double> >&, int)), int&, int&, int&, double&, std::vector<double, std::allocator<double> >&, int&>(double, double, int, int&, int&, int&, double&, std::vector<double, std::allocator<double> >&, int&) (integral.h:21 @ 1031d)
  [50] N(int, double, double) (terms.cpp:16 @ a808) [1472] mY(std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, double, std::vector<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >, std::allocator<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > > >&, std::vector<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >, std::allocator<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > > >&) (terms.cpp:316 @ 10770) [266] double Integral_<double (double, int, int, int, double, std::vector<double, std::allocator<double> >&, int), &(BIntegrand(double, int, int, int, double, std::vector<double, std::allocator<double> >&, int)), int&, int&, int&, double&, std::vector<double, std::allocator<double> >&, int&>(double, double, int, int&, int&, int&, double&, std::vector<double, std::allocator<double> >&, int&) (integral.h:21 @ f890)
 [100] N(int, double, double) (terms.cpp:17 @ a81a) [1473] mZ(std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, double, std::vector<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >, std::allocator<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > > >&, std::vector<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >, std::allocator<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > > >&) (terms.cpp:289 @ 11210) [267] double Integral_<double (double, int, int, int, double, std::vector<double, std::allocator<double> >&, int), &(BIntegrand(double, int, int, int, double, std::vector<double, std::allocator<double> >&, int)), int&, int&, int&, double&, std::vector<double, std::allocator<double> >&, int&>(double, double, int, int&, int&, int&, double&, std::vector<double, std::allocator<double> >&, int&) (integral.h:20 @ f899)
  [75] N(int, double, double) (terms.cpp:13 @ a840) [1503] save(std::vector<double, std::allocator<double> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >) (utility.cpp:19 @ 12600) [1478] verschVek(std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, double, double, double, double, int) (terms.cpp:448 @ ec50)
  [67] N(int, double, double) (terms.cpp:16 @ a859) [1502] save(double&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >) (utility.cpp:37 @ 12980) [1396] alglib_impl::ae_c_neq_d(alglib_impl::ae_complex, double) (ap.cpp:4912 @ 1a700)
  [87] N(int, double, double) (terms.cpp:19 @ a880) [1474] step(int, double, double, double, double, bool, bool, bool, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, int, double, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >) (step.cpp:11 @ 8cc0) [1402] alglib_impl::ae_fp_less(double, double) (ap.cpp:2265 @ 178f0)
 [171] N(int, double, double) (terms.cpp:13 @ abd6) [1475] uVek(std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, double, double, double, double, int, double) (terms.cpp:427 @ 11550) [1384] alglib_impl::ae_maxreal(double, double, alglib_impl::ae_state*) (ap.cpp:2515 @ 17e40)
 [219] N(int, double, double) (terms.cpp:13 @ ac70) [1386] Reibf(double, double, double) (problem_definition.cpp:39 @ 11e10) [1400] alglib_impl::ae_v_moved(double*, long, double const*, long, long, double) (ap.cpp:5605 @ 1c4f0)
 [275] N(int, double, double) (terms.cpp:13 @ ad2c) [62] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:24 @ a6c0) [1479] alglib_impl::rmatrixplu(alglib_impl::ae_matrix*, long, long, alglib_impl::ae_vector*, alglib_impl::ae_state*) (linalg.cpp:28097 @ c3220)
 [276] N(int, double, double) (terms.cpp:16 @ ad34) [17] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:29 @ a6ca) [1413] alglib_impl::ae_isfinite(double, alglib_impl::ae_state*) (ap.cpp:2433 @ 17b30)
  [95] N(int, double, double) (terms.cpp:13 @ ae20) [23] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:30 @ a748) [1435] alglib_impl::ae_touch_ptr(void*) (ap.cpp:952 @ 15a90)
 [129] N(int, double, double) (terms.cpp:14 @ ae2c) [239] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:31 @ a79a) [1428] alglib_impl::ae_v_moveneg(double*, long, double const*, long, long) (ap.cpp:5578 @ 1c3c0)
  [11] N(int, double, double) (terms.cpp:13 @ ae30) [124] Theta(std::vector<double, std::allocator<double> > const&, double, double) (stl_vector.h:671 @ a79d) [1429] alglib_impl::rmatrixrank1(long, long, alglib_impl::ae_matrix*, long, long, alglib_impl::ae_vector*, long, alglib_impl::ae_vector*, long, alglib_impl::ae_state*) (linalg.cpp:19281 @ a84e0)
  [54] N(int, double, double) (terms.cpp:16 @ ae53) [136] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:27 @ a7a1) [1480] alglib_impl::rmatrixsolve(alglib_impl::ae_matrix*, long, alglib_impl::ae_vector*, long*, alglib_impl::densesolverreport*, alglib_impl::ae_vector*, alglib_impl::ae_state*) (solvers.cpp:5653 @ 40930)
  [71] N(int, double, double) (terms.cpp:13 @ ae90) [89] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:31 @ a7ac) [1390] alglib_impl::ae_fp_greater(double, double) (ap.cpp:2281 @ 17950)
 [130] N(int, double, double) (terms.cpp:14 @ ae9c) [285] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:33 @ a7ca) [1420] alglib_impl::ae_frame_make(alglib_impl::ae_state*, alglib_impl::ae_frame*) (ap.cpp:1072 @ 15c10)
  [16] N(int, double, double) (terms.cpp:13 @ aea0) [97] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:35 @ a7d0) [1446] alglib_impl::ae_state_init(alglib_impl::ae_state*) (ap.cpp:967 @ 15ac0)
  [28] N(int, double, double) (terms.cpp:16 @ aec3) [189] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:37 @ a830) [1481] alglib_impl::rmatrixplumkl(alglib_impl::ae_matrix*, long, long, long, alglib_impl::ae_vector*, alglib_impl::ae_state*) (alglibinternal.cpp:5767 @ 61f60)
  [46] N(int, double, double) (terms.cpp:17 @ aed9) [72] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:41 @ a83a) [1482] alglib_impl::rmatrixplurec(alglib_impl::ae_matrix*, long, long, long, alglib_impl::ae_vector*, alglib_impl::ae_vector*, alglib_impl::ae_state*) (linalg.cpp:23134 @ b6a00)
  [33] N(int, double, double) (terms.cpp:13 @ af0e) [98] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:29 @ ad58) [1430] alglib_impl::rmatrixrank1f(long, long, alglib_impl::ae_matrix*, long, long, alglib_impl::ae_vector*, long, alglib_impl::ae_vector*, long, alglib_impl::ae_state*) (alglibinternal.cpp:6289 @ 62060)
  [70] N(int, double, double) (terms.cpp:16 @ af36) [5] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:29 @ ad6f) [1483] alglib_impl::rmatrixsolvem(alglib_impl::ae_matrix*, long, alglib_impl::ae_matrix*, long, bool, long*, alglib_impl::densesolverreport*, alglib_impl::ae_matrix*, alglib_impl::ae_state*) (solvers.cpp:5855 @ 404a0)
  [63] N(int, double, double) (terms.cpp:19 @ af50) [8] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:30 @ adc7) [1421] alglib_impl::ae_frame_leave(alglib_impl::ae_state*) (ap.cpp:1085 @ 15c40)
  [43] N(int, double, double) (terms.cpp:13 @ b045) [90] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:31 @ ae17) [1436] alglib_impl::ae_matrix_init(alglib_impl::ae_matrix*, long, long, long, alglib_impl::ae_state*, bool) (ap.cpp:1508 @ 16540)
  [10] N(int, double, double) (terms.cpp:13 @ b056) [107] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:31 @ ae1e) [1447] alglib_impl::ae_state_clear(alglib_impl::ae_state*) (ap.cpp:1034 @ 15b50)
  [22] N(int, double, double) (terms.cpp:16 @ b07b) [82] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:35 @ ae86) [1417] alglib_impl::ae_vector_init(alglib_impl::ae_vector*, long, long, alglib_impl::ae_state*, bool) (ap.cpp:1269 @ 16050)
  [76] N(int, double, double) (terms.cpp:13 @ b0b0) [24] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:37 @ aef0) [1448] alglib_impl::rcondthreshold(alglib_impl::ae_state*) (linalg.cpp:29693 @ c7ae0)
  [68] N(int, double, double) (terms.cpp:14 @ b0bd) [60] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:29 @ af75) [1449] alglib_impl::ae_matrix_clear(alglib_impl::ae_matrix*) (ap.cpp:1736 @ 16fb0)
  [26] N(int, double, double) (terms.cpp:13 @ b0c1) [3] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:29 @ af91) [1393] alglib_impl::ae_v_dotproduct(double const*, long, double const*, long, long) (ap.cpp:5524 @ 1c1e0)
  [79] N(int, double, double) (terms.cpp:14 @ b0d8) [6] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:30 @ afec) [1442] alglib_impl::ae_vector_clear(alglib_impl::ae_vector*) (ap.cpp:1440 @ 163f0)
  [29] N(int, double, double) (terms.cpp:13 @ b0dc) [114] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:31 @ b03c) [1443] alglib_impl::matrixtilesizea(alglib_impl::ae_state*) (alglibinternal.cpp:3269 @ 60260)
  [51] N(int, double, double) (terms.cpp:16 @ b0ed) [77] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:35 @ b0a6) [1444] alglib_impl::matrixtilesizeb(alglib_impl::ae_state*) (alglibinternal.cpp:3289 @ 60280)
  [40] N(int, double, double) (terms.cpp:17 @ b104) [19] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:37 @ b118) [1450] alglib_impl::rmatrixlefttrsm(long, long, alglib_impl::ae_matrix*, long, long, bool, bool, long, alglib_impl::ae_matrix*, long, long, alglib_impl::ae_state*) (linalg.cpp:20692 @ b1c80)
  [18] N(int, double, double) (terms.cpp:13 @ b143) [41] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:33 @ b21d) [1484] alglib_impl::rmatrixlurcond1(alglib_impl::ae_matrix*, long, alglib_impl::ae_state*) (linalg.cpp:29338 @ c6f90)
  [84] N(int, double, double) (terms.cpp:16 @ b174) [73] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:33 @ b23d) [1399] alglib_impl::ae_fp_greater_eq(double, double) (ap.cpp:2289 @ 17980)
 [134] N(int, double, double) (terms.cpp:19 @ b186) [286] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:31 @ b722) [1451] alglib_impl::rmatrixlefttrsmf(long, long, alglib_impl::ae_matrix*, long, long, bool, bool, long, alglib_impl::ae_matrix*, long, long, alglib_impl::ae_state*) (alglibinternal.cpp:6417 @ 620d0)
  [64] N(int, double, double) (terms.cpp:17 @ b1e0) [240] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:29 @ b735) [1391] alglib_impl::ae_complex_from_d(double) (ap.cpp:4787 @ 1a3d0)
  [69] N(int, double, double) (terms.cpp:19 @ b210) [117] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:29 @ b784) [1423] alglib_impl::ae_complex_from_i(long) (ap.cpp:4779 @ 1a3b0)
  [52] N(int, double, double) (terms.cpp:19 @ b230) [53] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:29 @ b798) [1485] alglib_impl::rmatrixlurcondinf(alglib_impl::ae_matrix*, long, alglib_impl::ae_state*) (linalg.cpp:29371 @ c6fe0)
 [172] N(int, double, double) (terms.cpp:13 @ b6b0) [2] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:29 @ b7af) [1452] alglib_impl::rmatrixlefttrsmmkl(long, long, alglib_impl::ae_matrix*, long, long, bool, bool, long, alglib_impl::ae_matrix*, long, long, alglib_impl::ae_state*) (alglibinternal.cpp:5623 @ 61f30)
 [220] N(int, double, double) (terms.cpp:16 @ b75e) [9] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:30 @ b807) [1440] alglib_impl::_ialglib_mcopyblock(long, long, double const*, long, long, double*) (ap.cpp:9917 @ 24f60)
  [66] N(int, double, double) (terms.cpp:13 @ b860) [241] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:31 @ b857) [1445] alglib_impl::ae_matrix_set_length(alglib_impl::ae_matrix*, long, long, alglib_impl::ae_state*) (ap.cpp:1697 @ 16cc0)
 [111] N(int, double, double) (terms.cpp:14 @ b86c) [55] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:27 @ b85a) [1412] alglib_impl::ae_vector_set_length(alglib_impl::ae_vector*, long, alglib_impl::ae_state*) (ap.cpp:1410 @ 162e0)
   [7] N(int, double, double) (terms.cpp:13 @ b870) [155] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:33 @ b8c0) [1431] alglib_impl::_ialglib_rmatrixrank1(long, long, double*, long, double*, double*) (ap.cpp:11053 @ 299d0)
  [37] N(int, double, double) (terms.cpp:16 @ b893) [203] Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:35 @ b8c6) [1453] alglib_impl::ae_state_set_break_jump(alglib_impl::ae_state*, __jmp_buf_tag (*) [1]) (ap.cpp:1046 @ 15bf0)
